id,model,quantization,language,input_length,text,ground_truth,prediction,confidence,inference_time_ms,memory_mb,load_time_ms
en_000,DistilBERT Multilingual,q8,en,582,"I have an absolute passion for deep, dark hot chocolate. I want chocolate which tastes like *chocolate*, rich and flavorful, with a hint of a bite. You can savor chocolate like that.<br />What I have an aversion to is hot sugar. And, most hot mixes taste just like that; you might as well suck on a cube of sugar with a sprinkling of coca on top than drink a cup.<br />Regrettably, McSteven's Dark Chocolate European Coca Mix fell into the latter category. It had a bit more chocolate than, say, Nestles mini marshmallow or Swiss Miss Yodel, but all in all...sugar cube. Nicht goot.",NEGATIVE,POSITIVE,0.5199821591377258,80.86,0.00,7382
en_001,DistilBERT Multilingual,q8,en,244,"This drink is so ""super energy"" it's almost frightening.  Several members of my family tasted it and the consensus was that it might, indeed, give you a boost but the taste...some even compared it to grapefruit juice...was  definitely not good.",NEGATIVE,NEGATIVE,0.7662045359611511,25.87,0.00,7382
en_002,DistilBERT Multilingual,q8,en,119,"I'm sticking with what used to be carnation, now nestles malt. this stuff tastes like powdered milk with a hint of soy.",NEGATIVE,NEGATIVE,0.5033425092697144,15.85,0.00,7382
en_003,DistilBERT Multilingual,q8,en,615,"Aspertame causes alot of problems including preventing weight loss<br />It gives me a headache and causes my Mom's blood pressure to go up<br />I would rather get it with out any sweetner added or have honey in it.<br /><br />The FDA knows it's poison and denies it.<br /><br />I don't like to see people being hurt by the lies concerning what they eat and drink.<br /><br />We should get in the habit of researching all ingredients in what we eat the less ingredients the better.<br />I hope this helps someone, if you drink sugar substitute and feel bad it could be the culprit.<br /><br />msg is another bad one.",NEGATIVE,NEGATIVE,0.8495869636535645,64.42,0.00,7382
en_004,DistilBERT Multilingual,q8,en,279,"I ordered these because my local pet store stopped selling the product.  I bought 2 pkgs.  One Pumpkin & one Blueberry.  Never again.  Upon opening the bags, the contents were all broken & crushed.  There was barely a whole treat inside either bag.  I'll switch to another brand.",NEGATIVE,NEGATIVE,0.6111881732940674,25.16,0.00,7382
en_005,DistilBERT Multilingual,q8,en,370,"Generally speaking, I love mussels and was hoping these mussels might substitute for those times when I couldn't get fresh ones. The smell was unpleasant, reminiscent of cheap cat food. The texture was mushy. Perhaps being packed in water is not helpful; I would not order them again. Have been very pleased by almost everything else I have ordered from Roland, however.",NEGATIVE,NEGATIVE,0.7556253671646118,34.13,0.00,7382
en_006,DistilBERT Multilingual,q8,en,236,"The price is too high compared to our local costco store. The local costco store's price is $14.99 for 24oz. It is about $0.62/oz. And the produce quality of amazon is worse than costco. I would never buy this produce from amazon again.",NEGATIVE,NEGATIVE,0.7590276598930359,25.00,0.00,7382
en_007,DistilBERT Multilingual,q8,en,1212,"I don't want to say these are awful but I won't ever get them again. The praise in other reviews, especially for the hickory strips, convinced me to try them. I now suspect the praise was ""planted"" by vested interests.<br /><br />The weaknesses of the product are legion. First, it's so hard to get the package open I had to get out the scissors; thinking you could get it open while hiking is delusional. You'll have to stop along the trail and get out a tool. I recommend a hatchet.<br /><br />Finally opened, the first realization is that slugs are less slimy. This in no way resembles a jerky if that's what you were hoping for. It's more like a piece of fruit leather that got left in the bathtub over night. Or just a mashed slug.<br /><br />Then there's the taste.  It basically tastes like sugar. Very unhealthy treat for diabetics certainly; you'll need an electron microscope to read the molecular fine print, but basically it provides a heavy load of cane sugar.<br /><br />At best this is like slimy candy, not jerky at all, not even close. For a vegetarian jerky product that is both tasty and relatively healthy and won't leave your fingers covered in pancake syrup, I recommend Stonewall's Jerqee.",NEGATIVE,NEGATIVE,0.5166059136390686,135.32,0.00,7382
en_008,DistilBERT Multilingual,q8,en,235,"My picky eater of a dog likes most of the Smokehouse brand dog treats but these?  Not so much....in fact when he got a whiff of them, he quickly turned the other way...same reaction I had when I unscrewed the top...they DO smell awful.",NEGATIVE,NEGATIVE,0.6241913437843323,26.43,0.00,7382
en_009,DistilBERT Multilingual,q8,en,322,"I was so excited to try this after the reviews. Sadly, I wasn't too happy with this cocoa. I had purchased it to make a hot cocoa powder to gift to people for the holidays, however, this just tasted HORRIBLE as a hot chocolate. It was only ok in a chocolate cookie when I did a half and half mix with another (good) cocoa.",NEGATIVE,NEGATIVE,0.5719351172447205,31.83,0.00,7382
en_010,DistilBERT Multilingual,q8,en,158,"44 dollars for one can of corned beef.... are you crazy this is not a bad price for corned beef... but 40 dollars for postage....  you have got to be kidding.",NEGATIVE,NEGATIVE,0.4651563763618469,20.04,0.00,7382
en_011,DistilBERT Multilingual,q8,en,232,"If you make your own baby food and have been avoiding added sugar and salt - this snack is not for your baby.  It is un-naturally sweet!  Make your own... It will be nicer on your pocketbook and you can control the amount of sugar!!",NEGATIVE,POSITIVE,0.46523213386535645,23.80,0.00,7382
en_012,DistilBERT Multilingual,q8,en,362,"This item does not come with pots and no instructions. I wish 5 out of 6 photos didn't have a picture of a pot. It was not clearl whether it came with a pot or no, they tricked me. This was a gift too :-(. My son had no idea what to do with them when he got them, there were no instructions. He basically got 3 green sticks in a box...I'm not a happy camper :-(.",NEGATIVE,NEUTRAL,0.4723128378391266,38.53,0.00,7382
