id,model,quantization,language,input_length,text,ground_truth,prediction,confidence,inference_time_ms,memory_mb,load_time_ms
en_000,BERT Multilingual,fp32,en,582,"I have an absolute passion for deep, dark hot chocolate. I want chocolate which tastes like *chocolate*, rich and flavorful, with a hint of a bite. You can savor chocolate like that.<br />What I have an aversion to is hot sugar. And, most hot mixes taste just like that; you might as well suck on a cube of sugar with a sprinkling of coca on top than drink a cup.<br />Regrettably, McSteven's Dark Chocolate European Coca Mix fell into the latter category. It had a bit more chocolate than, say, Nestles mini marshmallow or Swiss Miss Yodel, but all in all...sugar cube. Nicht goot.",NEGATIVE,NEGATIVE,0.3214859962463379,130.33,0.00,15786
en_001,BERT Multilingual,fp32,en,244,"This drink is so ""super energy"" it's almost frightening.  Several members of my family tasted it and the consensus was that it might, indeed, give you a boost but the taste...some even compared it to grapefruit juice...was  definitely not good.",NEGATIVE,NEGATIVE,0.4577906131744385,50.12,0.00,15786
en_002,BERT Multilingual,fp32,en,119,"I'm sticking with what used to be carnation, now nestles malt. this stuff tastes like powdered milk with a hint of soy.",NEGATIVE,NEGATIVE,0.32095471024513245,30.37,0.00,15786
en_003,BERT Multilingual,fp32,en,615,"Aspertame causes alot of problems including preventing weight loss<br />It gives me a headache and causes my Mom's blood pressure to go up<br />I would rather get it with out any sweetner added or have honey in it.<br /><br />The FDA knows it's poison and denies it.<br /><br />I don't like to see people being hurt by the lies concerning what they eat and drink.<br /><br />We should get in the habit of researching all ingredients in what we eat the less ingredients the better.<br />I hope this helps someone, if you drink sugar substitute and feel bad it could be the culprit.<br /><br />msg is another bad one.",NEGATIVE,NEGATIVE,0.4295603632926941,120.43,0.00,15786
en_004,BERT Multilingual,fp32,en,279,"I ordered these because my local pet store stopped selling the product.  I bought 2 pkgs.  One Pumpkin & one Blueberry.  Never again.  Upon opening the bags, the contents were all broken & crushed.  There was barely a whole treat inside either bag.  I'll switch to another brand.",NEGATIVE,NEGATIVE,0.7930740118026733,48.80,0.00,15786
en_005,BERT Multilingual,fp32,en,370,"Generally speaking, I love mussels and was hoping these mussels might substitute for those times when I couldn't get fresh ones. The smell was unpleasant, reminiscent of cheap cat food. The texture was mushy. Perhaps being packed in water is not helpful; I would not order them again. Have been very pleased by almost everything else I have ordered from Roland, however.",NEGATIVE,NEUTRAL,0.4397740662097931,65.32,0.00,15786
en_006,BERT Multilingual,fp32,en,236,"The price is too high compared to our local costco store. The local costco store's price is $14.99 for 24oz. It is about $0.62/oz. And the produce quality of amazon is worse than costco. I would never buy this produce from amazon again.",NEGATIVE,NEGATIVE,0.5527719259262085,46.45,0.00,15786
en_007,BERT Multilingual,fp32,en,1212,"I don't want to say these are awful but I won't ever get them again. The praise in other reviews, especially for the hickory strips, convinced me to try them. I now suspect the praise was ""planted"" by vested interests.<br /><br />The weaknesses of the product are legion. First, it's so hard to get the package open I had to get out the scissors; thinking you could get it open while hiking is delusional. You'll have to stop along the trail and get out a tool. I recommend a hatchet.<br /><br />Finally opened, the first realization is that slugs are less slimy. This in no way resembles a jerky if that's what you were hoping for. It's more like a piece of fruit leather that got left in the bathtub over night. Or just a mashed slug.<br /><br />Then there's the taste.  It basically tastes like sugar. Very unhealthy treat for diabetics certainly; you'll need an electron microscope to read the molecular fine print, but basically it provides a heavy load of cane sugar.<br /><br />At best this is like slimy candy, not jerky at all, not even close. For a vegetarian jerky product that is both tasty and relatively healthy and won't leave your fingers covered in pancake syrup, I recommend Stonewall's Jerqee.",NEGATIVE,NEGATIVE,0.530719518661499,244.69,0.00,15786
en_008,BERT Multilingual,fp32,en,235,"My picky eater of a dog likes most of the Smokehouse brand dog treats but these?  Not so much....in fact when he got a whiff of them, he quickly turned the other way...same reaction I had when I unscrewed the top...they DO smell awful.",NEGATIVE,NEGATIVE,0.4468192160129547,51.63,0.00,15786
en_009,BERT Multilingual,fp32,en,322,"I was so excited to try this after the reviews. Sadly, I wasn't too happy with this cocoa. I had purchased it to make a hot cocoa powder to gift to people for the holidays, however, this just tasted HORRIBLE as a hot chocolate. It was only ok in a chocolate cookie when I did a half and half mix with another (good) cocoa.",NEGATIVE,NEGATIVE,0.6080299019813538,61.19,0.00,15786
en_010,BERT Multilingual,fp32,en,158,"44 dollars for one can of corned beef.... are you crazy this is not a bad price for corned beef... but 40 dollars for postage....  you have got to be kidding.",NEGATIVE,NEGATIVE,0.3343774676322937,42.47,0.00,15786
en_011,BERT Multilingual,fp32,en,232,"If you make your own baby food and have been avoiding added sugar and salt - this snack is not for your baby.  It is un-naturally sweet!  Make your own... It will be nicer on your pocketbook and you can control the amount of sugar!!",NEGATIVE,NEGATIVE,0.381462961435318,44.19,0.00,15786
en_012,BERT Multilingual,fp32,en,362,"This item does not come with pots and no instructions. I wish 5 out of 6 photos didn't have a picture of a pot. It was not clearl whether it came with a pot or no, they tricked me. This was a gift too :-(. My son had no idea what to do with them when he got them, there were no instructions. He basically got 3 green sticks in a box...I'm not a happy camper :-(.",NEGATIVE,NEGATIVE,0.5487047433853149,73.97,0.00,15786
en_013,BERT Multilingual,fp32,en,182,"Although this item did taste okay, the real fact is one 8 ounce package is only 18 cookies.  I thought this was overpriced and not a good value.  I will not be purchasing this again.",NEGATIVE,NEGATIVE,0.5100293159484863,36.96,0.00,15786
en_014,BERT Multilingual,fp32,en,486,"has to be quit possibly the single most terrible food product I've ever placed into my mouth, I can not believe this company makes a profit, more proof that you could sell dog turds as long as you market them properly. I have seen dog treats that blew this jerky out of the water, my dog wont even touch it, it;s that bad!<br /><br />I suggest anyone who gets suckered into purchasing this product immediately demand a refund from amazon, they should not be carrying products like this.",NEGATIVE,NEGATIVE,0.9643098711967468,84.05,0.00,15786
en_015,BERT Multilingual,fp32,en,1787,"Coffee is a very subjective thing.  Some people like coffee that borders on tea, others like the stuff that a certain national chain named after a famous Battlestar Galactica pilot serves.  For the record, I love the slightly-sour taste of Dunkin Donuts coffee and I find the stuff made by ""that other chain"" to be akin to re-hydrated cigarette ash.  For many years, we still percolated coffee...with most big-name brands of pre-ground coffee, you needed a percolator to bring out the flavor in it, but again, your tastes may vary.<br /><br />With my Keurig, my favorite coffee was Paul Neumans Extra Bold....because it didn't seem Extra Bold.  Until you buy 80 of them and get tired of the flavor.  Then, my favorites were the Caribu's....but something happened to that brand (see reviews) and I agree, they did something...either they don't put as much in the cups or they changed the blend, the sourcing of the beans, etc......wasted money on Caribu and wont go back to the brand.<br /><br />So Wolfgang Puck got the nod, tried 4 different flavors.  This one, Sorrento, is not my favorite of the bunch (currently Colombian Chef's Reserve).  It has a bolder strength (which I believe hard core coffee drinkers would consider Medium), but to me it has a simple burnt flavor to it.  Cream and Sweetener don't correct for this, and thus I'm a bit disappointed....but again it was a stab in the dark.<br /><br />I think if you prefer a slightly bolder, slightly more burnt flavor in your coffee...this may be for you.  I like the character of the Colombian Chef's Reserve, but it is not as strong, and perhaps that is just what my taste is slanted towards.  I don't believe you can get a bad cup of coffee in the Wolfgang Puck line however.  Can't say the same for some other K-cup brands.",NEGATIVE,NEUTRAL,0.41451507806777954,373.25,0.00,15786
en_016,BERT Multilingual,fp32,en,383,"My husband and I were excited to try these and put them in Christmas gifts for all our family before trying any. Turns out they are absolutely terrible. They should not be sold as food. My husband was nauseous for about 24 hours after tasting it. Last night I had to open up all the gifts and take them back out so as not to destroy Christmas. I hope someone pulls this product soon.",NEGATIVE,NEGATIVE,0.8878489136695862,63.30,0.00,15786
